"id","app","content","score"
"11","Disaster Alert (PDC Global)","Have used the app for years, very informative!  Keeps me abreast of natural disasters around the world.  Now this New and improved (?) app opens to a glob of icons, requiring massive zooming to try and locate the alert just received.  Then switching to the text of the alerts keeps part of the map showing, requiring you to search the larger text boxes for what you are looking for.  That made the app more cumbersome to use.","3"
"12","Disaster Alert (PDC Global)","I had this app a few years ago it was great back then. When the big earthquake hit Montana this year, I remembered this app and quickly went to download it for future events. It's been a while now and Montana currently has 175,000 acres on fire right now and not one notification has popped up. I see notifications of tornados two years ago and fires in other states but nothing but dry weather conditions warnings. This app is useless to me if I can't have current events for my state. Just about to delete this app unfortunately.","1"
"13","Disaster Alert (PDC Global)","If the goal with the last couple of updates was to make the app less useful and a mess to navigate, then the developers nailed it. You used to be able to tap and alert and see what it was....sort of an obvious thing you would want to do...No more. Now you have to hunt around to find information on the alert. Overall some major steps backwards.  Any chance we can roll it back to the useful app it used to be?","2"
"14","Disaster Alert (PDC Global)","I love this app and rely on it a lot! It’s very informative (usually)  The only complaint I have is the app is very buggy. It’s glitches a ton and I can barely move around the map accuracy. Other then that I love that app and am very happy with it.","4"
"15","Disaster Alert (PDC Global)","The older app on my iPad3 worked great.  On this newer iPad Pro, the app updated.  I can’t seem to keep the layers I want to stay displayed from each auto-update.  Each time I have to reselect all the layers.  As a disaster specialist, I am currently needing only a few of the layers.  It’s a waste of my time.  Yup, it may be my lack of understanding how to use this app.  It does have super options.  It appears to be really well done, but it’s this one feature that is keeping me from giving it a full five stars.  If someone can help, I would appreciate it.","1"
"16","Disaster Alert (PDC Global)","Already liked the previous version which had been used by local EMS and Fire Dept to allocate resources. This new update has many more layers and customizable options for any given area as well as the flexibility for world-wide travel. Lots of info provided in real time.","5"
"17","Disaster Alert (PDC Global)","This app has a nice world map that shows different types of disasters around the world.  Two big fails that you may or may not care about; 1. Incomplete data.  Apparently the volcano in Hawaii didn’t qualify as a disaster.  Three high wind/storm warnings: check!  Volcano: 0.  2. This thing is spammy on the alerts.  To be fair there are a lot of disasters going on in the world every single day.  IOS 12 will bring alert grouping, maybe they’re counting on that.  Or perhaps it’s to encourage people to subscribe ($$$) to the premium alert feature to prioritize daily alerts in areas of interest you select?  Fix the data quality issues and I’d pay a couple bucks for this app, but a subscription?  Heck no!","2"
"18","Disaster Alert (PDC Global)","Why I have it 5 stars, 1 it is free and 4 because of the amount of data it puts into the app.  There are minor tweaks I would like to see but for what I paid and what I get I can not complain. Excellent information and easy to use.","5"
"19","Disaster Alert (PDC Global)","A vision into what’s happening in our world the ring of fire is a lot more active than I ever thought. It gives you information on earthquakes, avalanches, etc. I haven’t found a better app yet.","5"
"20","Disaster Alert (PDC Global)","The newly updated app is at best the worst design possible. The earlier app ver was basic but simple and clearly organized. This app is an absolute mess and is fit to be taken down. Apple’s threshold for app performance is now apparently really low. The app on iphone 6 causes the screen to shrink both from the top and bottom. There is no “Settings” menu. I cannot even now revert to the old version. Crap.","1"
"21","Disaster Alert (PDC Global)","I rather liked their old app with satellite view and it was quick to pull up disasters and clear the screen once it was read.  There’s kinks that has to be ironed out and I hope the developers can fix this","4"
"22","Disaster Alert (PDC Global)","Could use some graphics simplifying.  Remember, it’s a phone or tablet app; not a laptop or desktop version.  KISS principle","4"
"23","Disaster Alert (PDC Global)","Before this new version I really liked and relied on Alerts notifications. Now this new app is a day late almost everyday. My area location is in the Pacific and appreciated Tropical Depression and Storm warning notifications.  Will rate 5 stars once improvements made.","3"
"24","Disaster Alert (PDC Global)","Used to like the app, loads the info instantly when you tap on it...after the update, it takes a long time before loading the info because of the map layers & others. I hope they remove unnecessary infos that cause the app to lag.","2"
"25","Disaster Alert (PDC Global)","Update fixed slow load of hazards very informative app","5"
"26","Disaster Alert (PDC Global)","I have been very surprised of the activities around the world. I travel world wide and this app really helps let me know what the region I’m going to conditions are and great for planning ahead.","5"
"27","Disaster Alert (PDC Global)","I live in Northern California, this app makes me aware of and keeps me updated about any wildfires in my area in a succinct and attention grabbing way.","5"
"28","Disaster Alert (PDC Global)","In searching for some of the disasters quoted in the app, I looked up mentions of tornadoes and other events occurring in the United States by checking the weather channels and the Google references. I was not seeing correlations between listed disasters on this app and occurrences in the areas where the disasters were listed.","2"
"29","Disaster Alert (PDC Global)","Love it. Keeps me updated on the entire world and it’s fascinating to see how many things are happening in the world.","5"
"30","Disaster Alert (PDC Global)","It is wonderful to receive the various disaster alerts around the world. I feel like I always know what is going on. I use this app everyday!.","5"
"31","Disaster Alert (PDC Global)","Awesome apps!!  Very accurate detail current information. Want to thank DisasterAlert for putting out best public alert notification for everyone’s safety. Mahalo🤙🏽","5"
"32","Disaster Alert (PDC Global)","After the upgrade I can now customize my alerts for free - no more monthly bills!","5"
"33","Disaster Alert (PDC Global)","I live in West Africa and this provides very useful information that otherwise isn’t available.","5"
"34","Disaster Alert (PDC Global)","I had a similar app on my old phone, but it doesn’t compare to this one! Stellar and highly accurate!","5"
"35","Disaster Alert (PDC Global)","Sometimes a little slow to load, but one of my more used apps for keeping an eye on weather events.","4"
"36","Disaster Alert (PDC Global)","The Hazard List button is missing. The hazard list topic titles get cut off and can’t be read; I liked the scrolling bring that back. Weather Layer default-on not good. Doesn’t save User Prefs so has to be reset every time. and I am a paid-up user for years. Keeps getting worse.","2"
"37","Disaster Alert (PDC Global)","Excellent app I recommended for stay alert all time about the world","5"
"38","Disaster Alert (PDC Global)","I want the previous version back. why? Because it takes too long to load and is slow when moving to different areas within the site. I always began each day by looking at the global weather, but now I can’t be bothered.","1"
"39","Disaster Alert (PDC Global)","Although I appreciate your service, the new program is not nearly as friendly as the past program. Please bring back the old format, or do a design change to allow favorable use. Even submitting this review is burdensome.","2"
"40","Disaster Alert (PDC Global)","App is okay but you can't filter alerts to ones that have any sort of relevance to you. They also try you to pay a logre monthly or yearly fee for things that should be free. I would have been open to paying a smaller, one-time fee, but clearly they have not tested this with a market yet.","1"
"41","Disaster Alert (PDC Global)","I really like this app.  It’s a great tool in understanding our earth and what happens around the world.","4"
"42","Disaster Alert (PDC Global)","Really helpful to see what's happening out there, especially when I'm on the road.","5"
"43","Disaster Alert (PDC Global)","yo you can’t go to the map very much but if you had the bell on  it alerts you for any disaster happening","5"
"44","Disaster Alert (PDC Global)","Although it’s still good, it was better before the update .","5"
"45","Disaster Alert (PDC Global)","Difficult to navigate, earlier version was better in that regard. Otherwise, good job.","3"
"46","Disaster Alert (PDC Global)","This is really useful to keep aware of whats going on. Beautiful maps too.","5"
"47","Disaster Alert (PDC Global)","Nice to have this apps, you're up to date on what's going on our planet earth","5"
"48","Disaster Alert (PDC Global)","Very informative; worldwide a great app! Thank you for making it even better!","5"
"49","Disaster Alert (PDC Global)","I used this app for years, but either has new ownership from 2018, cause it just does not work. Can’t get to see anything. The app only asks for Reviews!  It’s really weak now.  Please fix your App up!","2"
"50","Disaster Alert (PDC Global)","Well done. Good too see all new maps & features. Much better, but best there is.","5"
"51","Disaster Alert (PDC Global)","Love the new updates! Great app. I work in the science department of our local high school, this app is perfect for work.","5"
"52","Disaster Alert (PDC Global)","They give constant notifications about things happening all over the world that arent even disasters. Idc about a flood in lebannon. I tried to edit the preferences and they made me create an account. No thanks i will just delete. Good idea terrible execution. Dissapointed. Just goofy honestly","1"
"53","Disaster Alert (PDC Global)","Easy to use.","5"
"54","Disaster Alert (PDC Global)","This is an excellent app to provide a very broad sense of situational awareness. I use it to maintain a regional situational awareness for emerging weather events and potential impacts.","5"
"55","Disaster Alert (PDC Global)","User friendly, situational awareness with access to multiple emergency management disaster preparedness related layers.  Civilian version of PDC’s EMOPS in your hip pocket!","5"
"56","Disaster Alert (PDC Global)","Excellent app keeps me up to speed with what’s going on around the world","5"
"57","Disaster Alert (PDC Global)","Really like the app.  However, I would like to be able to filter on location and event type.  Will this be an upcoming enhancement?","3"
"58","Disaster Alert (PDC Global)","I recently am doing cross country travel. It is a good source to find trouble areas.","5"
"59","Disaster Alert (PDC Global)","I get alerts every time something it’s in the world","5"
"60","Disaster Alert (PDC Global)","Great app for finding disasters in your area but you get an alert for every disaster all over the world and there’s no way to par it down.","3"
"61","Disaster Alert (PDC Global)","Enlightening & informative…. gives me great respect for our mother, earth!  Love the pinpoint mapping, and impact insights.","4"
"62","Disaster Alert (PDC Global)","I loved keeps me up to date with any disaster or earthquake that happens around the planet","5"
"63","Disaster Alert (PDC Global)","I married during a hurricane in Alcapulco, June 16, 1971.  I am so glad to know where the bad weather is BEFORE I go there😖‼️","5"
"64","Disaster Alert (PDC Global)","This app is: through, user friendly, complete.","5"
"65","Disaster Alert (PDC Global)","I am a full time RV traveler and this app is helpful in preventing me from finding dangerous places to avoid","5"
"66","Disaster Alert (PDC Global)","The updated ruined what was an awesome app.  Makes me very sad.  Hoping they will bring back the old look and functionality of what it once was.. Bring back the old format. Don’t like it all much anymore.","1"
"67","Disaster Alert (PDC Global)","It used to have an easy access to a list.  Now they complicated it. Very technical.  Does not works for me at all.  I will erased and try something else.  Hope I find something better.","1"
"68","Disaster Alert (PDC Global)","so far i have nothing but positive experience w this disaster alert application. looking to use these tools to stay more informed about big events , looking ahead !","5"
"69","Disaster Alert (PDC Global)","I like the previous system better. You didn’t have to go through half a dozen steps to get to the information. I don’t have time to go through all the steps.","1"
"70","Disaster Alert (PDC Global)","Excellent coverage and valuable app!  HIGHLY RECOMMEND","5"
"71","Disaster Alert (PDC Global)","At last. Shows all EQs hurricane paths, & fires. And no charge for limiting notifications. Thx guys.","5"
"72","Disaster Alert (PDC Global)","It’s an okay app. If the newest alerts were at the top of the feed, I believe it could be better.","3"
"73","Disaster Alert (PDC Global)","Fantastic App. I highly recommend it. Must have. A+","5"
"74","Disaster Alert (PDC Global)","The map rarely updates, always a day behind. Do not rely on this app to notify you in an actual emergency situation.","2"
"75","Disaster Alert (PDC Global)","Works great for me.  Couldn’t be any better.","5"
"76","Disaster Alert (PDC Global)","I love this app because it has soo much data.","5"
"77","Disaster Alert (PDC Global)","It’s way too complicated and not at all user friendly. Additionally, when I tried to register, it hung up every time. Two thumbs down.","1"
"78","Disaster Alert (PDC Global)","I like it less then before too slow and a pain to get the info I want","2"
"79","Disaster Alert (PDC Global)","This new version is a pain in the ...  it locks up and has lost its previous user friendly touch. Please take us back.","1"
"80","Disaster Alert (PDC Global)","Written them twice thru the app and twice through email with zero response.  Finally just deleted the app.","1"
"81","Disaster Alert (PDC Global)","Keep up it is wonderful","4"
"82","Disaster Alert (PDC Global)","Check out the other critical reviews; most people agree it was a solid app before and now it’s pretty bad. I’m uninstalling it.","1"
"83","Disaster Alert (PDC Global)","Will no longer accept updates on my 6+","1"
"84","Disaster Alert (PDC Global)","After the latest update the app won’t open on my ipad","1"
"85","Disaster Alert (PDC Global)","A go to app for anyone and everyone.","5"
"86","Disaster Alert (PDC Global)","Best app ever","4"
"87","Disaster Alert (PDC Global)","I do not like the new update. Prefer the way it was.","2"
"88","Disaster Alert (PDC Global)","Brilliant app for my iPhone, I love it!","5"
"89","Disaster Alert (PDC Global)","Why","1"
"90","Disaster Alert (PDC Global)","How can this get so useless?  Where are the alerts?","1"
"91","Disaster Alert (PDC Global)","This app rocks","5"
"92","Disaster Alert (PDC Global)","Ito ay malakas ulan into bagong Vicky o like this tuntrurestom like NooA or not","4"
"93","Disaster Alert (PDC Global)","this would be a great app if you could navigate back","1"
"94","Disaster Alert (PDC Global)","You will be surprised how many calamities are occuring around the globe and how uninformed you have been.  Most impressive is the zooming function, which to my eyes looks to have a higher resolution than google earth.  It must been a live satellite feed or something.  One shortcoming is that the details option opens up in a screen that is not scaled to fit the iphone screen, so you have to zoom in.","4"
"95","Disaster Alert (PDC Global)","Don’t do it","1"
"96","Disaster Alert (PDC Global)","Aloha nui loa from the Big Island...  Great application guys. Very nicely done and very useful. Just a couple of suggestions, it would be great if the map was 'infinite' (that is, didn't stop scrolling in the middle of the pacific) - hard to get from Hawaii to Japan without going the wrong way :)  Or maybe just make Hawaii the middle of the map (after all, it IS the PACIFIC warning system :)  It would also be nice that new warnings would be marked with a little NEW badge (or something like that) if the warning was new since the last time I ran the application.  Push notification would be great too, to put a badge on the application icon indicating the number of new alerts.  Finally, having a current location that took you to your place on the map would also be a nice touch (again, may have missed it, but I didn't see it).  Great application!","5"
"97","Disaster Alert (PDC Global)","I agree with some of the other reviewers that with the login screen it is now slow to start up.  Even if I try to choose to log in as a Guest it sometimes takes several taps on that link until it responds. Also, if this is the Pacific Disaster Center app then why does the map always default over by the Atlantic and not on the Pacific? Are there more African and European users of this app than the rest of the world?  I do appreciate the disaster info this app provides.  I was hoping that the customized alerts would have been a one time app purchase rather than a subscription.","3"
"98","Disaster Alert (PDC Global)","The app does just what it said ... provides a visual reference to types of disaster alerts and locates the various events on a world map as well as provide a link to more information.  I especially like that the map continues ... so you aren't limited to a continent 1/2 on the left and 1/2 on the right.  You just scroll and you put what you like right where you want it.  User interface is very nice.","5"
"99","Disaster Alert (PDC Global)","I have friends and family all over the world. This app lets me see what is going on in their area, so I can offer assistance to them, or just check in to make sure they are ok. From earthquakes in China to Typhoons heading for Taiwan, the app is full of up to the minute information and also links you further to treasure troves of information and details if desired. Great Job!!!","5"
"100","Disaster Alert (PDC Global)","I don't know how they did this, but the developers of this app have made it fast and simple for geographers, geologists, meteorologists, and folks who have family they are concerned about to get up to speed and fast about potential and existing disasters. The developers should be applauded. The graphics are very appealing to boot. Thank you.","5"
"101","Disaster Alert (PDC Global)","Great app, although some of the notifications are unnecessary.  Any earthquake 5.0 or greater becomes an alert, and most quakes are not an issue until they are 6.0 or greater. The same is true for many severe thunderstorms, blizzards, and other notifications that I would not characterize as 'disaster alerts'.  Good situational awareness though; great insight into just how frequently events happen all over the globe.","4"
"102","Disaster Alert (PDC Global)","Great app well thought out very informative and intuitive. I spent well over an hour exploring it and learned quite a lot. I felt very informed when the day after I bought it I heard mention of tropical storm Jose. From your app I already knew of it, where it was, it's projected path and more.  Thanks for the app. I recommend it to anyone who likes being informed.","5"
"103","Disaster Alert (PDC Global)","This is a great app in its layout and information.  The only thing I would like to see added is the ability to set each category of disaster to certain thresholds.    For example, I don't need to receive notifications about fires which are beyond a 20 mile radius from me.  I also don't need to hear about earthquakes below 7.0 and which are outside of a 500 mile radius (or are not a tsunami threat).    At the very least, please add filters for distance and severity of each disaster category.    Maybe also tie into local emergency broadcast services to provide text alerts from civil defense in cities, counties, states, provinces, countries, etc.","4"
"104","Disaster Alert (PDC Global)","however; I would love to be able to sort the events by time. That is going and sort them by hours ago minutes ago. Currently the times come up apparently random maybe they're sorted by geography somehow. But to be able to sort them by time would be very very cool","5"
"105","Disaster Alert (PDC Global)","Application provides two views of hazards occurring around the world. The map shows visual context while the listing is a no-frills type representation. Each hazard has a link to more details.  Very informative application and look forward to future functionality.","5"
"106","Disaster Alert (PDC Global)","Nice to have at hand an app where you can check the status of an event. Here in Hawaii everytime you hear of an earthquake somewhere in the Pacific, Alaska or Japan, you wonder tsunami? Now we can check and drive to the gas station to top off  Would be nice to have push notifications though.","5"
"107","Disaster Alert (PDC Global)","I love this app.  Even though I do not live in a disaster-prone area, I have family & friends that do.  This app gives timely and accurate info on all type of natural disasters and keeps me aware of just how much activity there is around the globe! I don't liv in a perfect bubble after all!  Thanks!","5"
"108","Disaster Alert (PDC Global)","I check it every day. Just wish the connected additional information was more informative and easier to read. I would like to know more about the volcanos like type of eruption and size of plume or flow etc. And for earthquakes..... Are there tsunamis etc.","4"
"109","Disaster Alert (PDC Global)","Crashes every couple of minutes, very annoying as you can imagine. Ability to scroll completely around the globe has to be added or a constantly moving globe that can be rotated like in google earth. Apart from that it is an interesting app that will keep me informed at all times wherever I may be.","3"
"110","Disaster Alert (PDC Global)","This app actually works. I doubt the accuracy of this app at first, but the information it provided me was quite accurate. But i don't know for sure whether it is really that accurate... so 4 stars. Interface could be improved as well.","4"
"111","Disaster Alert (PDC Global)","This is quite a novel App. Useful when considering travel, which I was to Washington, but now that I see fires reported- ill check into this more. Would like landscape support and ability to send alerts as email. Server being used is slow however.","5"
"112","Disaster Alert (PDC Global)","I LOVE this app! While living on an island in the Pacific Ocean it kept me up to date on what was happening not only to my area but also around the world! Now back in the states I can still track the weather where ever friends and family live! Thank you!","5"
"113","Disaster Alert (PDC Global)","Great application.  I' not sure what all a paid subscription would do, exactly (and this would be good to exactly know); however, given the info is free from many other locations... I think $1 or $2 or $3 per year (at different customizable levels) would be more reasonable and bring more paying subscriptions.  Almost there!","3"
"114","Disaster Alert (PDC Global)","As a Security professional who oversees the health and security of many teams all over the world this app is a great way to stay alert to many disasters where our teams are as they happen. It helps me stay on top of such things","5"
"115","Disaster Alert (PDC Global)","I like the app, but unless you have many, many friends and or family around the globe, no point in downloading this app. If you want one just for your region, just get your local news app. They report disasters too...","5"
"116","Disaster Alert (PDC Global)","Disaster Alert!  Mostly good.  Could use better global back-ground graphics, but really needs the ability to customize which alerts I want to receive as push notifications.","4"
"117","Disaster Alert (PDC Global)","Our business relies on accuracy.  Your up to the minute data has helped to provide that out front information which allows for actionable trainning.  That alone makes it invaluable.  Great App.","5"
"118","Disaster Alert (PDC Global)","Interesting fusion of available information, I like the app, however wish I could filter the alerts I receive without becoming a paying customer.","5"
"119","Disaster Alert (PDC Global)","Loved this app before...but it got even better with the new update!! Love the ability to add Layers now! And flip out Menu on left is great! Other functions are improved also. 😊","5"
"120","Disaster Alert (PDC Global)","Great app made better with push notices. Next step should be to give folks the ability to CHOOSE the alerts they want. Example, I'm only interested in tsunami and/or Hawaii alerts. Until then, I have to turn the notices off.","4"
"121","Disaster Alert (PDC Global)","There should be an option that takes advantage of Location Services where the app tells you alerts near you. But other than that, great!","4"
"122","Disaster Alert (PDC Global)","This app has exactly what I am looking for. Quick snapshot of what's going on around the globe with good info that assists me in my job.  Would recommend to anyone in this line of work.","5"
"123","Disaster Alert (PDC Global)","Of course there are additional alerts that should be included in this program. Wars, biological terrorism, and so on, and (which I would really like to see), response levels to these emergencies. We need to take care of what we can.","4"
"124","Disaster Alert (PDC Global)","I like this product a great deal, it's nice to have an overview of events and I got info on the china quake before it was on the news. That Said I think that up UBAlert is a very good compliment to this app as it allows users to input local data . In short I'd say get both since this one has slightly better event reporting.","3"
"125","Disaster Alert (PDC Global)","I appreciate being able to know what events are happening around the world, however I think the price could be reduced significantly .   You would probably get a lot more customers by charging $2.99 for the app.   The free version does not provide enough information so many people will delete the app.  Reconsider your policy, you receive a considerable amount of money through the government and grants.","4"
"126","Disaster Alert (PDC Global)","This app helps keep track of all the disasters and other bad things happening around the globe and is extremely helpful. Highly recommended!!","5"
"127","Disaster Alert (PDC Global)","It's interesting to use the maps above and beyond the reporting on natural disasters. This app provides a really interesting view of the world.","5"
"128","Disaster Alert (PDC Global)","I usually love this app, I like the constant alerts to earthquakes, volcanoes, disease outbreaks, etc. I still get alerted about Ebola and I WANT to be! HOWEVER--The [more info] button for the Ebola pandemic alert hasn't changed since August 11th! I tried reloading but it still says only about 950 people have died (like it was in August), and we all know that that number has grown.  If you guys can fix this lack of Ebola updates I'll go back to 5 stars again......  Disappointed because this is THE PACIFIC DISASTER CENTER! A large reputable company!  So come on guys fix the Ebola thing and make it more accurate and up to date please! Then I can go back up to 5 stars. Thanks! :/","1"
"129","Disaster Alert (PDC Global)","Alerts are too high volume and irrelevant unless you can customize. Can't customize alerts unless you pay for a subscription. At their current rates subscriptions are even more expensive than registering your own domain name (for example). Not worth it; in general I don't think I would pay any subscription fee for an app like this.","1"
"130","Disaster Alert (PDC Global)","Personally and professionally at PDC, Disaster Alert provides me with the official notification of severe hazards that I need to keep up with what is happening around the globe.","5"
"131","Disaster Alert (PDC Global)","I enjoy this app. Great way to see how natural events around the world occur. There really isn't any way to view these geological, and other events in one place.","5"
"132","Disaster Alert (PDC Global)","This is a great app to keep track of what's going on around the world.  Is it just me, or is there a lot more seismic activity going on?  Great app, I highly recommend it.","5"
"133","Disaster Alert (PDC Global)","Not sure whether it is useful or not, but better to have it. The UI is to simple, please update to make it clear and tidy.","4"
"134","Disaster Alert (PDC Global)","I love it. This app give me the ability to see if there Are any dangers where my family is and so I am able to make decisions if I should fly back to help.","5"
"135","Disaster Alert (PDC Global)","Much improved, older version adequate, this new version is considerably improved. Seems faster, global map easier to use. Info accurate & timely. GREAT APP!","5"
"136","Disaster Alert (PDC Global)","With more weather related events occurring its nice to have this app. I like the banner alerts and the ability to zoom in on maps","5"
"137","Disaster Alert (PDC Global)","Great visual for locations of hazards throughout the world.  You can even see the actual alerts from key agencies reporting up to the minute information.  Nice app and it's FREE.","5"
"138","Disaster Alert (PDC Global)","Seems to work just fine on my 3GS. I love looking at volcanoes with this app, and I can zoom right in on large thermal vents and the resolution is really good. ","5"
"139","Disaster Alert (PDC Global)","The developer is open to suggestions and there app proves that.  The info on the apo is reliable and useful.  I have been using it for over three years now.","5"
"140","Disaster Alert (PDC Global)","Easy to use, timely, informative - if linked to ping text messages would be even better but good app if a bit anxiety-inducing.","5"
"141","Disaster Alert (PDC Global)","I like having a tool that I can easily see where is having problems. This is a great way to keep up to date on what is going on in the world.","4"
"142","Disaster Alert (PDC Global)","This is a nice app for seeing what is going on worldwide, but doesn't include enough for my areas of interest.  It is a good addition to your emergency library.","5"
"143","Disaster Alert (PDC Global)","A very nice fusion of many bits of data over a wide range of event classifications.  Adding a cat agony for NBC (nuclear, biological and chemical) events would be beneficial...especially in our current world socio-political & nation-state flux.","5"
"144","Disaster Alert (PDC Global)","Excellent app with up-to-date information. Handy to receive alerts on my home country in the Pacific, when I live half way round the world!","4"
"145","Disaster Alert (PDC Global)","Stumbled across this app and really like it. Great snapshot of natural disasters for those who travel worldwide and with friends and families scattered across the globe. Time saver compared to watching the news.","5"
"146","Disaster Alert (PDC Global)","Great app!  One of the reasons to own a I Pad. We do business in many remote locations centered around structural stability so needless to say Great APP!","5"
"147","Disaster Alert (PDC Global)","I love this app! I can keep track of disasters around the world and make sure that I'm safe!","5"
"148","Disaster Alert (PDC Global)","This is a great app that provides the most updating disaster alerts around the world. Very useful when there is a huge disaster happened!","5"
"149","Disaster Alert (PDC Global)","Great app that is full of accurate information. I look forward to revisions that will allow setting parameters to avoid information overload.","4"
"150","Disaster Alert (PDC Global)","It would helpful to you look up what will be happen about come earthquake or bad storm, etc.. That's very great!","5"
"151","Disaster Alert (PDC Global)","Always on top of all types of events worldwide. had this app for most of 2013 can't imagine going without it.","5"
"152","Disaster Alert (PDC Global)","This App appears not to be accurate.  There is massive flooding in Fiji right now and yet no alert on this App.  Also, it shows a Tsunami alert in Hawaii and yet further information says there is no Tsunami alert for Hawaii.  Go figure.    The other Disaster Alert app IS this one....they're both inaccurate.","1"
"153","Disaster Alert (PDC Global)","App seems easy to use but not really sure how reliable the information is. Might be useful for traveling but I think this focuses a little too big picture to be useful to specific locations.","2"
"154","Disaster Alert (PDC Global)","I never knew how many earthquakes there are. And this app only shows the larger ones.","5"
"155","Disaster Alert (PDC Global)","This is a superb app and surprised me with the information provided.  I now have a better understanding in regard to the volatile nature of our earth.","5"
"156","Disaster Alert (PDC Global)","Good app for reviewing global issue for natural disasters.  Alert functionality works great easy to maneuver in and out quickly","4"
"157","Disaster Alert (PDC Global)","Interesting app. You can watch nature hazards around the world. There is even possibility of reading reports about situation. Nice UI, well done.","5"
"158","Disaster Alert (PDC Global)","I thought push notifications and location services would be good ideas to notify you of disasters near you that you should be aware of.","2"
"159","Disaster Alert (PDC Global)","Lots of information. We had an earthquake nearby & it wasn't long until it was broadcast on this app. Good app!","5"
"160","Disaster Alert (PDC Global)","Wish there were different layer options /notification options but it's ok.","4"
"161","Disaster Alert (PDC Global)","This app can alert you the dangers around you, so it can be much useful. In addition, the UI design of the app is clean and clear. good app i think.","4"
